Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual__Round 1,Actual__Rounds 2-3,Actual__Rounds 4-5,Actual__Rounds 6-7,Actual__Undrafted,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,EDGE,DL,Charlotte,AAC,76.5,260,9.5,33.5,79.375,4.65,34.5,23,121.0,7.17,4.36,0,1055,-14.993,22.913,17.6,42.495,39.432,0,0,Undrafted,0,0,0,0,1,1,0.29275636279358075,38,34.710743801652896,57.57575757575758
2024,DL,DL,Miami,ACC,75.5,303,9.0,33.875,80.625,5.12,30.0,27,109.0,7.81,4.75,1,1580,11.169,68.436,66.666,63.176,51.762,0,0,Undrafted,0,0,0,0,1,1,0.29263408386909706,39,35.12396694214876,59.09090909090909
2023,OT,OL,Kansas,Big 12,77.75,309,9.5,34.125,80.75,5.05,31.0,20,111.0,7.6,4.69,1,1373,3.37,60.21,82.028,38.063,37.048,0,0,Undrafted,0,0,0,0,1,1,0.29062809255337807,40,35.53719008264463,60.60606060606061
2023,CB,Secondary,Iowa,Big Ten,72.0,205,9.25,31.875,77.125,4.62,35.5,18,118.0,6.99,4.17,1,1748,7.409,67.111,21.369,88.288,70.495,0,0,Undrafted,0,0,0,0,1,1,0.2903801321098506,41,35.9504132231405,62.121212121212125
2025,S,Secondary,Nevada,Mountain West,70.625,202,9.5,31.0,75.25,4.41,41.5,18,128.0,6.65,4.14,1,1192,-8.417,32.498,47.2,30.419,32.833,0,0,Rounds 6-7,0,0,0,1,0,0,0.2885456839040619,41,36.36363636363637,62.121212121212125
2024,C,OL,Michigan,Big Ten,73.5,298,9.0,33.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,2210,27.625,94.395,88.226,91.352,54.858,0,0,Undrafted,0,0,0,0,1,1,0.2853557336438397,42,36.77685950413223,63.63636363636363
2023,TE,Skill,Oklahoma,Big 12,75.5,241,9.75,33.25,79.125,4.68,32.0,20,117.0,7.3,4.36,1,1662,9.969,66.271,71.907,54.872,48.16,0,0,Rounds 6-7,0,0,0,1,0,0,0.28507723057133916,42,37.1900826446281,63.63636363636363
2024,DL,DL,Duke,ACC,74.375,302,10.25,33.0,79.125,4.99,32.0,27,109.0,7.95,4.75,1,1654,8.778,68.7,63.774,63.667,60.347,0,0,Rounds 2-3,0,1,0,0,0,0,0.2843615335171831,42,37.60330578512397,63.63636363636363
2025,TE,Skill,Utah,Big 12,74.0,236,10.5,31.5,76.75,5.45,43.0,11,113.3,8.19,4.03,0,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,0,0,0,0,1,1,0.2839902295267931,43,38.01652892561984,65.15151515151516
2023,WR,Skill,Cincinnati,AAC,68.625,182,8.625,28.875,70.375,4.4,37.5,14,124.0,6.92,4.29,1,1690,6.451,60.989,44.607,64.989,69.829,0,0,Rounds 4-5,0,0,1,0,0,0,0.28293699867632127,43,38.429752066115704,65.15151515151516
