Season,Player,Position,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Overall Pick,Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award
2023,Chris Rodriguez Jr.,RB,Kentucky,SEC,72,217,8.625,30.625,73.625,4.55,34.5,20,122,6.92,4.4,193,0,1606,5.824,59.284,46.761,72.541,34.773,4.1897,0,0
2023,Christian Gonzalez,CB,Oregon,Pac-12,73.375,197,9.5,32,76.875,4.38,41.5,14,133,6.89,4.26,17,1,1724,14.225,78.17,81.614,63.631,42.699,5.4889,0,1
2023,Christopher Dunn,K,North Carolina St.,ACC,68,175,8.5,29.625,71.375,4.58,34,20,121,7.27,4.44,300,0,1586,6.545,61.626,35.041,76.185,70.218,0,0,0
2023,Christopher Smith,CB,Georgia,SEC,70.625,192,9.625,31.125,75,4.62,33,15,116,7.17,4.53,170,1,2300,29.908,93.511,90.791,87.647,45.406,4.4886,0,0
2023,Clark Phillips III,CB,Utah,Pac-12,69,184,9.125,29.125,70.375,4.51,33,18,133,6.51,4.32,113,1,1915,19.146,79.905,74.866,74.068,53.378,4.9836,0,0
2023,Clayton Tune,QB,Houston,AAC,74.5,220,9.375,31.375,75.625,4.64,37.5,20,122,6.89,4.25,139,1,1619,4.061,51.527,62.603,38.496,54.875,4.7875,0,0
2023,Michael Jefferson,WR,Louisiana,Sun Belt,75.75,199,9.625,32.5,79.375,4.56,37,16,133,7.03,4.56,300,1,1556,-2.136,45.745,34.883,52.541,66.931,0,0,0
2023,Michael Mayer,TE,Notre Dame,FBS Independent,76.5,249,9.5,31.625,76.25,4.7,32.5,21,118,7.29,4.28,35,1,1850,12.6,69.601,59.985,66.897,66.833,5.4116,0,1
2023,Michael Turk,P,Oklahoma,Big 12,72.25,227,10.125,30.5,75.75,4.83,34,20,109,7.27,4.44,300,1,1662,9.969,66.271,71.907,54.872,48.16,0,0,0
2023,Michael Wilson,WR,Stanford,Pac-12,73.875,213,9.75,31,75.125,4.58,37.5,23,125,6.95,4.27,94,1,1237,-3.917,38.149,36.614,44.176,50.17,5.1059,0,0
2023,Mike Morris,EDGE,Michigan,Big Ten,77.125,275,10,33.5,81.875,4.95,28.5,22,110,7.56,4.52,151,1,2124,23.62,85.085,79.485,79.2,57.128,4.6821,1,0
2023,Mitchell Tinsley,WR,Penn St.,Big Ten,72,199,10,32.375,75.625,4.6,35.5,14,120,6.93,4.21,300,1,2000,19.477,82.964,71.335,83.462,50.595,0,0,0
2023,Mohamed Ibrahim,RB,Minnesota,Big Ten,68,203,9,28.625,69.625,4.47,35,20,121,7.13,4.59,300,0,1758,11.422,72.43,66.077,73.504,40.834,0,0,1
